county_fips,county_name,state_name,weather_source,county_pop_lat,county_pop_lon,selected_gid,grid_lat,grid_lon,distance_km
01043,Cullman County,Alabama,wtk,34.162653,-86.832644,1798424,34.164333,-86.824585,0.764655
01043,Cullman County,Alabama,bchrrr,34.162653,-86.832644,1798424,34.164333,-86.824585,0.764655
01043,Cullman County,Alabama,nsrdb,34.162653,-86.832644,920270,34.17,-86.82,1.421503
01045,Dale County,Alabama,wtk,31.383858,-85.637702,1878495,31.385101,-85.638885,0.178085
01045,Dale County,Alabama,bchrrr,31.383858,-85.637702,1878495,31.385101,-85.638885,0.178085
01045,Dale County,Alabama,nsrdb,31.383858,-85.637702,944474,31.37,-85.62,2.280055
01047,Dallas County,Alabama,wtk,32.41182,-87.035326,1799471,32.406113,-87.04181,0.879323
01047,Dallas County,Alabama,bchrrr,32.41182,-87.035326,1799471,32.406113,-87.04181,0.879323
01047,Dallas County,Alabama,nsrdb,32.41182,-87.035326,916244,32.41,-87.02,1.452873
01049,DeKalb County,Alabama,wtk,34.452726,-85.817295,1846599,34.45073,-85.82364,0.622682
01049,DeKalb County,Alabama,bchrrr,34.452726,-85.817295,1846599,34.45073,-85.82364,0.622682
01049,DeKalb County,Alabama,nsrdb,34.452726,-85.817295,940260,34.45,-85.82,0.391661
01051,Elmore County,Alabama,wtk,32.558523,-86.225307,1841013,32.56221,-86.21759,0.831342
01051,Elmore County,Alabama,bchrrr,32.558523,-86.225307,1841013,32.56221,-86.21759,0.831342
01051,Elmore County,Alabama,nsrdb,32.558523,-86.225307,932232,32.57,-86.22,1.369671
01053,Escambia County,Alabama,wtk,31.085446,-87.280019,1795961,31.079498,-87.27905,0.667795
01053,Escambia County,Alabama,bchrrr,31.085446,-87.280019,1795961,31.079498,-87.27905,0.667795
01053,Escambia County,Alabama,nsrdb,31.085446,-87.280019,910449,31.09,-87.3,1.968922
01055,Etowah County,Alabama,wtk,34.012184,-86.025905,1839994,34.011112,-86.02463,0.167391
01055,Etowah County,Alabama,bchrrr,34.012184,-86.025905,1839994,34.011112,-86.02463,0.167391
01055,Etowah County,Alabama,nsrdb,34.012184,-86.025905,936168,34.01,-86.02,0.596001
01057,Fayette County,Alabama,wtk,33.726912,-87.7675,1751580,33.735233,-87.76691,0.926862
01057,Fayette County,Alabama,bchrrr,33.726912,-87.7675,1751580,33.735233,-87.76691,0.926862
01057,Fayette County,Alabama,nsrdb,33.726912,-87.7675,900177,33.73,-87.78,1.205901
01059,Franklin County,Alabama,wtk,34.463509,-87.793571,1745694,34.47164,-87.786194,1.129072
01059,Franklin County,Alabama,bchrrr,34.463509,-87.793571,1745694,34.47164,-87.786194,1.129072
01059,Franklin County,Alabama,nsrdb,34.463509,-87.793571,900159,34.45,-87.78,1.950545
01061,Geneva County,Alabama,wtk,31.094508,-85.781409,1873167,31.091816,-85.789795,0.852774
01061,Geneva County,Alabama,bchrrr,31.094508,-85.781409,1873167,31.091816,-85.789795,0.852774
01061,Geneva County,Alabama,nsrdb,31.094508,-85.781409,941170,31.09,-85.78,0.518912
01063,Greene County,Alabama,wtk,32.833836,-87.924533,1749161,32.83256,-87.92111,0.349878
01063,Greene County,Alabama,bchrrr,32.833836,-87.924533,1749161,32.83256,-87.92111,0.349878
01063,Greene County,Alabama,nsrdb,32.833836,-87.924533,896733,32.85,-87.94,2.306173
01065,Hale County,Alabama,wtk,32.783296,-87.627917,1765696,32.78835,-87.62189,0.795775
01065,Hale County,Alabama,bchrrr,32.783296,-87.627917,1765696,32.78835,-87.62189,0.795775
01065,Hale County,Alabama,nsrdb,32.783296,-87.627917,903669,32.77,-87.62,1.653381
01067,Henry County,Alabama,wtk,31.469257,-85.271092,1897411,31.47026,-85.26196,0.873231
01067,Henry County,Alabama,bchrrr,31.469257,-85.271092,1897411,31.47026,-85.26196,0.873231
01067,Henry County,Alabama,nsrdb,31.469257,-85.271092,951873,31.45,-85.26,2.385784
01069,Houston County,Alabama,wtk,31.204795,-85.396331,1892894,31.210941,-85.38818,1.033427
01069,Houston County,Alabama,bchrrr,31.204795,-85.396331,1892894,31.210941,-85.38818,1.033427
01069,Houston County,Alabama,nsrdb,31.204795,-85.396331,949407,31.21,-85.38,1.65749
01071,Jackson County,Alabama,wtk,34.727292,-85.943413,1838934,34.72104,-85.93878,0.813986
01071,Jackson County,Alabama,bchrrr,34.727292,-85.943413,1838934,34.72104,-85.93878,0.813986
01071,Jackson County,Alabama,nsrdb,34.727292,-85.943413,937785,34.73,-85.94,0.433537
01073,Jefferson County,Alabama,wtk,33.517233,-86.811573,1804093,33.519096,-86.80347,0.779226
01073,Jefferson County,Alabama,bchrrr,33.517233,-86.811573,1804093,33.519096,-86.80347,0.779226
01073,Jefferson County,Alabama,nsrdb,33.517233,-86.811573,920286,33.53,-86.82,1.620362
01075,Lamar County,Alabama,wtk,33.761274,-88.108785,1732576,33.76457,-88.11633,0.7879
01075,Lamar County,Alabama,bchrrr,33.761274,-88.108785,1732576,33.76457,-88.11633,0.7879
01075,Lamar County,Alabama,nsrdb,33.761274,-88.108785,893219,33.77,-88.1,1.265275
01077,Lauderdale County,Alabama,wtk,34.86552,-87.608852,1752826,34.860813,-87.60266,0.770133
01077,Lauderdale County,Alabama,bchrrr,34.86552,-87.608852,1752826,34.860813,-87.60266,0.770133
01077,Lauderdale County,Alabama,nsrdb,34.86552,-87.608852,903617,34.85,-87.62,2.003215
01079,Lawrence County,Alabama,wtk,34.540864,-87.271599,1772850,34.536343,-87.26434,0.833552
01079,Lawrence County,Alabama,bchrrr,34.540864,-87.271599,1772850,34.536343,-87.26434,0.833552
01079,Lawrence County,Alabama,nsrdb,34.540864,-87.271599,911209,34.53,-87.26,1.608774
01081,Lee County,Alabama,wtk,32.592194,-85.359797,1882917,32.598267,-85.36398,0.780753
01081,Lee County,Alabama,bchrrr,32.592194,-85.359797,1882917,32.598267,-85.36398,0.780753
01081,Lee County,Alabama,nsrdb,32.592194,-85.359797,950195,32.61,-85.34,2.712803
01083,Limestone County,Alabama,wtk,34.803981,-86.922396,1789224,34.798954,-86.9151,0.869619
01083,Limestone County,Alabama,bchrrr,34.803981,-86.922396,1789224,34.798954,-86.9151,0.869619
01083,Limestone County,Alabama,nsrdb,34.803981,-86.922396,917811,34.81,-86.94,1.741028
01085,Lowndes County,Alabama,wtk,32.164245,-86.615194,1823270,32.16414,-86.62076,0.524055
01085,Lowndes County,Alabama,bchrrr,32.164245,-86.615194,1823270,32.16414,-86.62076,0.524055
01085,Lowndes County,Alabama,nsrdb,32.164245,-86.615194,924376,32.17,-86.62,0.783676
01087,Macon County,Alabama,wtk,32.429073,-85.711756,1866898,32.435593,-85.71536,0.800013
01087,Macon County,Alabama,bchrrr,32.429073,-85.711756,1866898,32.435593,-85.71536,0.800013
01087,Macon County,Alabama,nsrdb,32.429073,-85.711756,942792,32.41,-85.7,2.390722
01089,Madison County,Alabama,wtk,34.742996,-86.61535,1805296,34.733067,-86.61026,1.198025
01089,Madison County,Alabama,bchrrr,34.742996,-86.61535,1805296,34.733067,-86.61026,1.198025
01089,Madison County,Alabama,nsrdb,34.742996,-86.61535,924312,34.73,-86.62,1.506265
01091,Marengo County,Alabama,wtk,32.342371,-87.803493,1758597,32.347652,-87.806305,0.643904
01091,Marengo County,Alabama,bchrrr,32.342371,-87.803493,1758597,32.347652,-87.806305,0.643904
01091,Marengo County,Alabama,nsrdb,32.342371,-87.803493,899343,32.33,-87.82,2.073021
01093,Marion County,Alabama,wtk,34.110449,-87.876487,1743300,34.111595,-87.875275,0.169378
01093,Marion County,Alabama,bchrrr,34.110449,-87.876487,1743300,34.111595,-87.875275,0.169378
01093,Marion County,Alabama,nsrdb,34.110449,-87.876487,898428,34.13,-87.86,2.651334
01095,Marshall County,Alabama,wtk,34.311248,-86.291372,1824519,34.314552,-86.29089,0.370046
01095,Marshall County,Alabama,bchrrr,34.311248,-86.291372,1824519,34.314552,-86.29089,0.370046
01095,Marshall County,Alabama,nsrdb,34.311248,-86.291372,930625,34.33,-86.3,2.230605
01097,Mobile County,Alabama,wtk,30.684055,-88.175158,1749042,30.68703,-88.17258,0.41256
01097,Mobile County,Alabama,bchrrr,30.684055,-88.175158,1749042,30.68703,-88.17258,0.41256
01097,Mobile County,Alabama,nsrdb,30.684055,-88.175158,891531,30.69,-88.18,0.807077
01099,Monroe County,Alabama,wtk,31.498804,-87.364518,1787879,31.50674,-87.37372,1.24089
01099,Monroe County,Alabama,bchrrr,31.498804,-87.364518,1787879,31.50674,-87.37372,1.24089
01099,Monroe County,Alabama,nsrdb,31.498804,-87.364518,908761,31.49,-87.38,1.764419
01101,Montgomery County,Alabama,wtk,32.346474,-86.23379,1842099,32.343605,-86.22769,0.655863
01101,Montgomery County,Alabama,bchrrr,32.346474,-86.23379,1842099,32.343605,-86.22769,0.655863
01101,Montgomery County,Alabama,nsrdb,32.346474,-86.23379,932238,32.33,-86.22,2.243673
01103,Morgan County,Alabama,wtk,34.513892,-86.932012,1790370,34.5059,-86.93329,0.896353
01103,Morgan County,Alabama,bchrrr,34.513892,-86.932012,1790370,34.5059,-86.93329,0.896353
01103,Morgan County,Alabama,nsrdb,34.513892,-86.932012,917818,34.53,-86.94,1.934866
01105,Perry County,Alabama,wtk,32.584881,-87.369649,1780942,32.582474,-87.36554,0.468881
