scenario,region,subRegion,param,xLabel,x,vintage,units,value
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2065,Vint_2065,Final Electricity by Sector (TWh),183.06321625926702
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2070,Vint_2070,Final Electricity by Sector (TWh),194.69265776857515
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2075,Vint_2075,Final Electricity by Sector (TWh),209.4540411434586
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2080,Vint_2080,Final Electricity by Sector (TWh),229.54255081202794
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2085,Vint_2085,Final Electricity by Sector (TWh),242.08589071256804
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2090,Vint_2090,Final Electricity by Sector (TWh),260.4630226424868
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2095,Vint_2095,Final Electricity by Sector (TWh),277.8505859521786
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2100,Vint_2100,Final Electricity by Sector (TWh),291.136187840562
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,1975,Vint_1975,Final Electricity by Sector (TWh),6.554045083333386
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,1990,Vint_1990,Final Electricity by Sector (TWh),30.301613154416906
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2005,Vint_2005,Final Electricity by Sector (TWh),50.705033058361515
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2010,Vint_2010,Final Electricity by Sector (TWh),52.674071542792085
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2015,Vint_2015,Final Electricity by Sector (TWh),49.98759456180318
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2020,Vint_2020,Final Electricity by Sector (TWh),51.30902931108652
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2025,Vint_2025,Final Electricity by Sector (TWh),53.5470812235407
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2030,Vint_2030,Final Electricity by Sector (TWh),59.17858821243297
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2035,Vint_2035,Final Electricity by Sector (TWh),61.94867346348466
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2040,Vint_2040,Final Electricity by Sector (TWh),69.21980749923333
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2045,Vint_2045,Final Electricity by Sector (TWh),74.96583673777143
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2050,Vint_2050,Final Electricity by Sector (TWh),80.16520727409842
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2055,Vint_2055,Final Electricity by Sector (TWh),86.34167831316653
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2060,Vint_2060,Final Electricity by Sector (TWh),93.76405518329909
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2065,Vint_2065,Final Electricity by Sector (TWh),103.58470198944055
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2070,Vint_2070,Final Electricity by Sector (TWh),110.56695522926422
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2075,Vint_2075,Final Electricity by Sector (TWh),119.17611722243929
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2080,Vint_2080,Final Electricity by Sector (TWh),130.64977225243882
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2085,Vint_2085,Final Electricity by Sector (TWh),135.17014227943886
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2090,Vint_2090,Final Electricity by Sector (TWh),147.55523262621173
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2095,Vint_2095,Final Electricity by Sector (TWh),154.07531734684818
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2100,Vint_2100,Final Electricity by Sector (TWh),163.02626803302937
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,1975,Vint_1975,Final Electricity by Sector (TWh),7.841880361111174
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,1990,Vint_1990,Final Electricity by Sector (TWh),46.3210435238337
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2005,Vint_2005,Final Electricity by Sector (TWh),77.80509329611174
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2010,Vint_2010,Final Electricity by Sector (TWh),80.69246602361174
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2015,Vint_2015,Final Electricity by Sector (TWh),84.567331872834
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2020,Vint_2020,Final Electricity by Sector (TWh),95.16599739823965
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2025,Vint_2025,Final Electricity by Sector (TWh),104.94803451393695
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2030,Vint_2030,Final Electricity by Sector (TWh),115.9738086427737
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2035,Vint_2035,Final Electricity by Sector (TWh),127.21386036069323
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2040,Vint_2040,Final Electricity by Sector (TWh),139.24663377135388
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2045,Vint_2045,Final Electricity by Sector (TWh),153.61385690076958
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2050,Vint_2050,Final Electricity by Sector (TWh),164.83880534784217
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2055,Vint_2055,Final Electricity by Sector (TWh),178.28880685995114
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2060,Vint_2060,Final Electricity by Sector (TWh),187.0509804837934
"rcp85hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AZ,elecFinalBySecTWh,Year,2065,Vint_2065,Final Electricity by Sector (TWh),205.45382333657247
