scenario,region,subRegion,param,xLabel,x,vintage,units,value
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2065,Vint_2065,Final Electricity by Sector (TWh),178.82801658273561
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2070,Vint_2070,Final Electricity by Sector (TWh),188.93648556665153
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2075,Vint_2075,Final Electricity by Sector (TWh),202.97278237170022
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2080,Vint_2080,Final Electricity by Sector (TWh),221.18745237943344
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2085,Vint_2085,Final Electricity by Sector (TWh),232.52245995094324
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2090,Vint_2090,Final Electricity by Sector (TWh),251.8807830870484
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2095,Vint_2095,Final Electricity by Sector (TWh),266.2026247628755
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2100,Vint_2100,Final Electricity by Sector (TWh),280.55513113086306
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,1975,Vint_1975,Final Electricity by Sector (TWh),6.554045083333386
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,1990,Vint_1990,Final Electricity by Sector (TWh),30.301613154416906
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2005,Vint_2005,Final Electricity by Sector (TWh),50.705033058361515
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2010,Vint_2010,Final Electricity by Sector (TWh),52.674071542792085
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2015,Vint_2015,Final Electricity by Sector (TWh),49.98759456180318
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2020,Vint_2020,Final Electricity by Sector (TWh),51.18876337074763
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2025,Vint_2025,Final Electricity by Sector (TWh),53.20701533597181
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2030,Vint_2030,Final Electricity by Sector (TWh),59.36574434448714
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2035,Vint_2035,Final Electricity by Sector (TWh),61.77922823903994
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2040,Vint_2040,Final Electricity by Sector (TWh),68.77284164573166
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2045,Vint_2045,Final Electricity by Sector (TWh),72.43533569870057
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2050,Vint_2050,Final Electricity by Sector (TWh),79.30423674408007
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2055,Vint_2055,Final Electricity by Sector (TWh),85.91580330404429
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2060,Vint_2060,Final Electricity by Sector (TWh),92.38417609439685
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2065,Vint_2065,Final Electricity by Sector (TWh),101.57117296444054
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2070,Vint_2070,Final Electricity by Sector (TWh),108.23736329340447
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2075,Vint_2075,Final Electricity by Sector (TWh),115.81007911541842
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2080,Vint_2080,Final Electricity by Sector (TWh),126.93155386229046
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2085,Vint_2085,Final Electricity by Sector (TWh),132.95170980794632
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2090,Vint_2090,Final Electricity by Sector (TWh),143.40118418196698
"rcp85cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2095,Vint_2095,Final Electricity by Sector (TWh),149.60300737686146
