scenario,region,subRegion,param,xLabel,x,vintage,units,value
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,1975,Vint_1975,Final Electricity by Sector (TWh),0.5108676888888929
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,1990,Vint_1990,Final Electricity by Sector (TWh),4.967654763611151
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2005,Vint_2005,Final Electricity by Sector (TWh),6.583500524722274
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2010,Vint_2010,Final Electricity by Sector (TWh),6.881499015555611
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2015,Vint_2015,Final Electricity by Sector (TWh),6.709778861111165
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2020,Vint_2020,Final Electricity by Sector (TWh),6.504265235344496
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2025,Vint_2025,Final Electricity by Sector (TWh),6.2533439807833835
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2030,Vint_2030,Final Electricity by Sector (TWh),6.637270617333387
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2035,Vint_2035,Final Electricity by Sector (TWh),7.484129163319504
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2040,Vint_2040,Final Electricity by Sector (TWh),8.419394835858956
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2045,Vint_2045,Final Electricity by Sector (TWh),9.795803514891745
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2050,Vint_2050,Final Electricity by Sector (TWh),10.575797318693695
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2055,Vint_2055,Final Electricity by Sector (TWh),12.736560858173435
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2060,Vint_2060,Final Electricity by Sector (TWh),17.192286300541248
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2065,Vint_2065,Final Electricity by Sector (TWh),22.07186494498962
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2070,Vint_2070,Final Electricity by Sector (TWh),25.458810723775482
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2075,Vint_2075,Final Electricity by Sector (TWh),27.973492839915778
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2080,Vint_2080,Final Electricity by Sector (TWh),30.61830813941441
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2085,Vint_2085,Final Electricity by Sector (TWh),34.406140412369716
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2090,Vint_2090,Final Electricity by Sector (TWh),41.30801982840866
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2095,Vint_2095,Final Electricity by Sector (TWh),59.46638716361297
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2100,Vint_2100,Final Electricity by Sector (TWh),75.72041726360254
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,1975,Vint_1975,Final Electricity by Sector (TWh),22.383256666666846
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,1990,Vint_1990,Final Electricity by Sector (TWh),66.37392521822275
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2005,Vint_2005,Final Electricity by Sector (TWh),97.98016354366744
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2010,Vint_2010,Final Electricity by Sector (TWh),99.3791048471119
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2015,Vint_2015,Final Electricity by Sector (TWh),95.4187714466952
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2020,Vint_2020,Final Electricity by Sector (TWh),96.1426207967205
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2025,Vint_2025,Final Electricity by Sector (TWh),101.05296571279052
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2030,Vint_2030,Final Electricity by Sector (TWh),110.75480276233867
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2035,Vint_2035,Final Electricity by Sector (TWh),117.0732516936526
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2040,Vint_2040,Final Electricity by Sector (TWh),129.5537946129888
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2045,Vint_2045,Final Electricity by Sector (TWh),137.64688734949192
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2050,Vint_2050,Final Electricity by Sector (TWh),153.04887788727314
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2055,Vint_2055,Final Electricity by Sector (TWh),163.99102754610936
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2060,Vint_2060,Final Electricity by Sector (TWh),190.05781646126042
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2065,Vint_2065,Final Electricity by Sector (TWh),216.7923624163659
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2070,Vint_2070,Final Electricity by Sector (TWh),237.887652257088
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2075,Vint_2075,Final Electricity by Sector (TWh),265.7212928494338
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2080,Vint_2080,Final Electricity by Sector (TWh),307.3937936592197
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2085,Vint_2085,Final Electricity by Sector (TWh),352.0036682630922
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2090,Vint_2090,Final Electricity by Sector (TWh),421.24093871157584
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2095,Vint_2095,Final Electricity by Sector (TWh),483.74508765736243
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AL,elecFinalBySecTWh,Year,2100,Vint_2100,Final Electricity by Sector (TWh),532.6459522695018
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,1975,Vint_1975,Final Electricity by Sector (TWh),6.554045083333386
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,1990,Vint_1990,Final Electricity by Sector (TWh),30.301613154416906
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2005,Vint_2005,Final Electricity by Sector (TWh),50.705033058361515
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2010,Vint_2010,Final Electricity by Sector (TWh),52.674071542792085
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2015,Vint_2015,Final Electricity by Sector (TWh),49.98759456180318
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2020,Vint_2020,Final Electricity by Sector (TWh),51.2956958843643
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2025,Vint_2025,Final Electricity by Sector (TWh),53.528414220459595
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2030,Vint_2030,Final Electricity by Sector (TWh),59.30874763804519
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2035,Vint_2035,Final Electricity by Sector (TWh),62.22456479754355
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2040,Vint_2040,Final Electricity by Sector (TWh),69.89947332271778
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2045,Vint_2045,Final Electricity by Sector (TWh),77.07824862734284
"rcp45hotter_ssp5,date=2024-3-6T20:01:59+17:00",USA,AR,elecFinalBySecTWh,Year,2050,Vint_2050,Final Electricity by Sector (TWh),82.86515453705648
