scenario,region,subRegion,param,xLabel,x,vintage,units,value
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,1975,Vint_1975,Final Electricity by Sector (TWh),0.5108676888888929
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,1990,Vint_1990,Final Electricity by Sector (TWh),4.967654763611151
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2005,Vint_2005,Final Electricity by Sector (TWh),6.583500524722274
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2010,Vint_2010,Final Electricity by Sector (TWh),6.881499015555611
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2015,Vint_2015,Final Electricity by Sector (TWh),6.709778861111165
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2020,Vint_2020,Final Electricity by Sector (TWh),6.715991475263943
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2025,Vint_2025,Final Electricity by Sector (TWh),6.515837569630607
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2030,Vint_2030,Final Electricity by Sector (TWh),6.6561594951028304
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2035,Vint_2035,Final Electricity by Sector (TWh),7.085291776900057
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2040,Vint_2040,Final Electricity by Sector (TWh),7.516494518797282
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2045,Vint_2045,Final Electricity by Sector (TWh),8.203279689788953
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2050,Vint_2050,Final Electricity by Sector (TWh),8.297901585407843
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2055,Vint_2055,Final Electricity by Sector (TWh),8.501291777788955
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2060,Vint_2060,Final Electricity by Sector (TWh),10.19304500667897
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2065,Vint_2065,Final Electricity by Sector (TWh),12.7492846480351
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2070,Vint_2070,Final Electricity by Sector (TWh),13.874935441597888
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2075,Vint_2075,Final Electricity by Sector (TWh),14.073186972308166
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2080,Vint_2080,Final Electricity by Sector (TWh),13.793907819974832
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2085,Vint_2085,Final Electricity by Sector (TWh),13.46017676183122
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2090,Vint_2090,Final Electricity by Sector (TWh),13.11614076811816
"rcp85cooler_ssp3,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2095,Vint_2095,Final Electricity by Sector (TWh),12.716913940010933
