scenario,region,subRegion,param,xLabel,x,vintage,units,value
"rcp45cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,1975,Vint_1975,Final Electricity by Sector (TWh),0.5108676888888929
"rcp45cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,1990,Vint_1990,Final Electricity by Sector (TWh),4.967654763611151
"rcp45cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2005,Vint_2005,Final Electricity by Sector (TWh),6.583500524722274
"rcp45cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2010,Vint_2010,Final Electricity by Sector (TWh),6.881499015555611
"rcp45cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2015,Vint_2015,Final Electricity by Sector (TWh),6.709778861111165
"rcp45cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2020,Vint_2020,Final Electricity by Sector (TWh),6.504978961972274
"rcp45cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2025,Vint_2025,Final Electricity by Sector (TWh),6.253078593388939
"rcp45cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2030,Vint_2030,Final Electricity by Sector (TWh),6.635152050894498
"rcp45cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2035,Vint_2035,Final Electricity by Sector (TWh),7.481965097761171
"rcp45cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2040,Vint_2040,Final Electricity by Sector (TWh),8.415085007317845
"rcp45cooler_ssp5,date=2024-3-6T20:01:59+17:00",USA,AK,elecFinalBySecTWh,Year,2045,Vint_2045,Final Electricity by Sector (TWh),9.789274432239244
